comment_id,platform,source_type,topic,comment_text,sentiment,intent,spam
732,Instagram,post,sports,Start earning from home today while comparing different options.,positive,financial_promotion,1
180,Instagram,post,sports,This made my day before making a decision.,positive,praise_or_appreciation,0
1067,YouTube,video,travel,Send payment to receive the guaranteed result after reading the description.,positive,fraudulent_service_offer,1
969,YouTube,video,music,I would like a filter for older posts for my current project.,neutral,feature_or_content_request,0
79,YouTube,video,news,The content leaves out important details for my current project.,negative,complaint_or_problem_report,0
596,Instagram,post,sports,My experience may help other users for a beginner.,neutral,user_experience_feedback,0
559,YouTube,video,news,The result was different for me for my current project.,neutral,user_experience_feedback,0
973,YouTube,video,education,Could you add keyboard shortcuts for a small business.,neutral,feature_or_content_request,0
294,Instagram,post,gaming,Which option should I choose on my phone.,neutral,question_or_information_request,0
117,YouTube,video,education,I really enjoyed this after reading the description.,positive,praise_or_appreciation,0
575,YouTube,video,news,This worked after restarting the app during the weekend.,neutral,user_experience_feedback,0
827,YouTube,video,travel,Download the complete guide from our page after reading the description.,positive,advertisement_or_promotion,1
182,Instagram,post,gaming,The examples are very useful while comparing different options.,positive,praise_or_appreciation,0
456,Instagram,post,technology,Follow for daily updates for a beginner.,neutral,engagement_bait,1
410,Instagram,post,food,Follow my account and I will follow back before making a decision.,neutral,engagement_bait,1
987,YouTube,video,travel,Please include the source code after reading the description.,neutral,feature_or_content_request,0
522,Instagram,post,food,My experience was reasonable while comparing different options.,neutral,user_experience_feedback,0
978,Instagram,post,food,Could you add keyboard shortcuts in the mobile application.,neutral,feature_or_content_request,0
339,YouTube,video,travel,You are eligible for an exclusive bonus for my current project.,positive,giveaway_or_reward_scam,1
539,YouTube,video,travel,The first attempt was successful for my current project.,neutral,user_experience_feedback,0
314,Instagram,post,food,Claim your free reward now on my phone.,positive,giveaway_or_reward_scam,1
766,Instagram,post,gaming,Make passive income using this secret for a beginner.,positive,financial_promotion,1
179,YouTube,video,travel,This made my day for my current project.,positive,praise_or_appreciation,0
377,YouTube,video,music,Register now to receive your prize after reading the description.,positive,giveaway_or_reward_scam,1
354,Instagram,post,food,Congratulations on winning on my phone.,positive,giveaway_or_reward_scam,1
510,Instagram,post,gaming,I tested this and it worked as expected before making a decision.,neutral,user_experience_feedback,0
21,YouTube,video,education,The instructions are confusing after trying the latest update.,negative,complaint_or_problem_report,0
184,Instagram,post,technology,The examples are very useful on my phone.,positive,praise_or_appreciation,0
435,YouTube,video,travel,Like this post for a surprise during the weekend.,neutral,engagement_bait,1
775,YouTube,video,news,Our members are earning every day during the weekend.,positive,financial_promotion,1
556,Instagram,post,sports,The result was different for me for a beginner.,neutral,user_experience_feedback,0
1073,YouTube,video,music,Get professional credentials without training for a small business.,positive,fraudulent_service_offer,1
1085,YouTube,video,education,Message me for a shortcut to approval during the weekend.,positive,fraudulent_service_offer,1
1021,YouTube,video,education,Get an instant certificate without an exam after trying the latest update.,positive,fraudulent_service_offer,1
900,Instagram,post,sports,Explore the featured service online before making a decision.,positive,advertisement_or_promotion,1
924,Instagram,post,sports,Please support additional languages on my phone.,neutral,feature_or_content_request,0
157,YouTube,video,education,The quality is impressive after reading the description.,positive,praise_or_appreciation,0
1039,YouTube,video,news,Pay a small fee for guaranteed approval for my current project.,positive,fraudulent_service_offer,1
856,Instagram,post,technology,Order now for fast delivery for a beginner.,positive,advertisement_or_promotion,1
421,YouTube,video,education,Share this with your friends after trying the latest update.,neutral,engagement_bait,1
784,Instagram,post,technology,Claim a limited financial opportunity on my phone.,positive,financial_promotion,1
606,Instagram,post,gaming,This is an interesting perspective for a beginner.,neutral,general_discussion,0
223,YouTube,video,news,Is this available everywhere for a small business.,neutral,question_or_information_request,0
948,Instagram,post,sports,Can you add subtitles to the video in the mobile application.,neutral,feature_or_content_request,0
219,YouTube,video,travel,What tools did you use for my current project.,neutral,question_or_information_request,0
986,Instagram,post,food,Please include the source code for a beginner.,neutral,feature_or_content_request,0
511,YouTube,video,news,I tried the suggested method after trying the latest update.,neutral,user_experience_feedback,0
1036,Instagram,post,sports,Pay a small fee for guaranteed approval for a beginner.,positive,fraudulent_service_offer,1
14,Instagram,post,gaming,This feature is not working correctly on my phone.,negative,complaint_or_problem_report,0
967,YouTube,video,news,I would like a filter for older posts after reading the description.,neutral,feature_or_content_request,0
290,Instagram,post,food,Does this support beginners before making a decision.,neutral,question_or_information_request,0
140,Instagram,post,sports,The creator did a great job before making a decision.,positive,praise_or_appreciation,0
641,YouTube,video,music,I agree that more context is needed after trying the latest update.,neutral,general_discussion,0
198,Instagram,post,gaming,This is one of the best posts in the mobile application.,positive,praise_or_appreciation,0
1011,YouTube,video,travel,Buy leaked answers from my private group after trying the latest update.,positive,fraudulent_service_offer,1
602,Instagram,post,food,This is an interesting perspective while comparing different options.,neutral,general_discussion,0
871,YouTube,video,news,Use this offer before it expires after trying the latest update.,positive,advertisement_or_promotion,1
1075,YouTube,video,travel,Get professional credentials without training during the weekend.,positive,fraudulent_service_offer,1
280,Instagram,post,technology,When will the next version be released before making a decision.,neutral,question_or_information_request,0
240,Instagram,post,technology,How does this work before making a decision.,neutral,question_or_information_request,0
215,YouTube,video,news,What tools did you use during the weekend.,neutral,question_or_information_request,0
760,Instagram,post,technology,Invest now for an exclusive bonus before making a decision.,positive,financial_promotion,1
463,YouTube,video,news,Tag three people to participate for a small business.,neutral,engagement_bait,1
139,YouTube,video,travel,The creator did a great job for my current project.,positive,praise_or_appreciation,0
814,Instagram,post,gaming,Get premium access at a lower price on my phone.,positive,advertisement_or_promotion,1
216,Instagram,post,technology,What tools did you use for a beginner.,neutral,question_or_information_request,0
329,YouTube,video,music,Your account was selected for a gift for my current project.,positive,giveaway_or_reward_scam,1
383,YouTube,video,news,You have been chosen for a giveaway for a small business.,positive,giveaway_or_reward_scam,1
771,YouTube,video,travel,Our members are earning every day after trying the latest update.,positive,financial_promotion,1
343,YouTube,video,news,Collect your free gift today for a small business.,positive,giveaway_or_reward_scam,1
90,Instagram,post,food,The product feels unreliable before making a decision.,negative,complaint_or_problem_report,0
1022,Instagram,post,gaming,Get an instant certificate without an exam while comparing different options.,positive,fraudulent_service_offer,1
462,Instagram,post,gaming,Tag three people to participate while comparing different options.,neutral,engagement_bait,1
387,YouTube,video,travel,You have been chosen for a giveaway after reading the description.,positive,giveaway_or_reward_scam,1
926,Instagram,post,gaming,Please support additional languages for a beginner.,neutral,feature_or_content_request,0
55,YouTube,video,news,The result contains an error during the weekend.,negative,complaint_or_problem_report,0
811,YouTube,video,travel,Get premium access at a lower price after trying the latest update.,positive,advertisement_or_promotion,1
837,YouTube,video,education,Try our service with a limited discount after reading the description.,positive,advertisement_or_promotion,1
357,YouTube,video,education,Congratulations on winning after reading the description.,positive,giveaway_or_reward_scam,1
169,YouTube,video,music,I appreciate the effort for my current project.,positive,praise_or_appreciation,0
370,Instagram,post,food,A reward is waiting for you before making a decision.,positive,giveaway_or_reward_scam,1
256,Instagram,post,technology,Can someone clarify the final step for a beginner.,neutral,question_or_information_request,0
886,Instagram,post,gaming,Join our newsletter for updates for a beginner.,positive,advertisement_or_promotion,1
161,YouTube,video,music,I appreciate the effort after trying the latest update.,positive,praise_or_appreciation,0
283,YouTube,video,travel,Does this support beginners for a small business.,neutral,question_or_information_request,0
444,Instagram,post,sports,Comment YES to get noticed on my phone.,neutral,engagement_bait,1
8,Instagram,post,technology,The app keeps crashing in the mobile application.,negative,complaint_or_problem_report,0
158,Instagram,post,gaming,The quality is impressive in the mobile application.,positive,praise_or_appreciation,0
84,Instagram,post,sports,The product feels unreliable on my phone.,negative,complaint_or_problem_report,0
597,YouTube,video,education,My experience may help other users after reading the description.,neutral,user_experience_feedback,0
281,YouTube,video,music,Does this support beginners after trying the latest update.,neutral,question_or_information_request,0
733,YouTube,video,education,Start earning from home today for a small business.,positive,financial_promotion,1
630,Instagram,post,gaming,There are several sides to this issue before making a decision.,neutral,general_discussion,0
274,Instagram,post,food,When will the next version be released on my phone.,neutral,question_or_information_request,0
434,Instagram,post,food,Like this post for a surprise on my phone.,neutral,engagement_bait,1
399,YouTube,video,news,Click to unlock your cash reward for my current project.,positive,giveaway_or_reward_scam,1
635,YouTube,video,travel,The discussion raises an important point during the weekend.,neutral,general_discussion,0
362,Instagram,post,food,A reward is waiting for you while comparing different options.,positive,giveaway_or_reward_scam,1
114,Instagram,post,food,I really enjoyed this on my phone.,positive,praise_or_appreciation,0
516,Instagram,post,sports,I tried the suggested method for a beginner.,neutral,user_experience_feedback,0
812,Instagram,post,sports,Get premium access at a lower price while comparing different options.,positive,advertisement_or_promotion,1
618,Instagram,post,food,I have been thinking about this topic in the mobile application.,neutral,general_discussion,0
794,Instagram,post,food,Contact us for instant profit guidance on my phone.,positive,financial_promotion,1
222,Instagram,post,gaming,Is this available everywhere while comparing different options.,neutral,question_or_information_request,0
765,YouTube,video,education,Make passive income using this secret during the weekend.,positive,financial_promotion,1
716,Instagram,post,sports,Join our group for daily profit signals for a beginner.,positive,financial_promotion,1
960,Instagram,post,technology,Please provide a shorter version before making a decision.,neutral,feature_or_content_request,0
879,YouTube,video,news,Use this offer before it expires for my current project.,positive,advertisement_or_promotion,1
797,YouTube,video,education,Contact us for instant profit guidance after reading the description.,positive,financial_promotion,1
805,YouTube,video,education,Visit our website for a special offer during the weekend.,positive,advertisement_or_promotion,1
100,Instagram,post,sports,I cannot use this properly before making a decision.,negative,complaint_or_problem_report,0
1006,Instagram,post,gaming,DM me for guaranteed job placement for a beginner.,positive,fraudulent_service_offer,1
288,Instagram,post,technology,Does this support beginners in the mobile application.,neutral,question_or_information_request,0
661,YouTube,video,education,Different users may have different experiences after trying the latest update.,neutral,general_discussion,0
178,Instagram,post,food,This made my day in the mobile application.,positive,praise_or_appreciation,0
751,YouTube,video,news,Invest now for an exclusive bonus after trying the latest update.,positive,financial_promotion,1
940,Instagram,post,sports,It would be useful to have an export button before making a decision.,neutral,feature_or_content_request,0
861,YouTube,video,education,Check our profile for exclusive products after trying the latest update.,positive,advertisement_or_promotion,1
164,Instagram,post,sports,I appreciate the effort on my phone.,positive,praise_or_appreciation,0
692,Instagram,post,sports,This connects with a similar discussion while comparing different options.,neutral,general_discussion,0
293,YouTube,video,education,Which option should I choose for a small business.,neutral,question_or_information_request,0
342,Instagram,post,gaming,Collect your free gift today while comparing different options.,positive,giveaway_or_reward_scam,1
418,Instagram,post,food,Subscribe and comment DONE in the mobile application.,neutral,engagement_bait,1
209,YouTube,video,music,Could you explain this part for my current project.,neutral,question_or_information_request,0
60,Instagram,post,sports,The result contains an error before making a decision.,negative,complaint_or_problem_report,0
1004,Instagram,post,sports,DM me for guaranteed job placement on my phone.,positive,fraudulent_service_offer,1
299,YouTube,video,travel,Which option should I choose for my current project.,neutral,question_or_information_request,0
11,YouTube,video,travel,This feature is not working correctly after trying the latest update.,negative,complaint_or_problem_report,0
142,Instagram,post,gaming,This helped me a lot while comparing different options.,positive,praise_or_appreciation,0
552,Instagram,post,technology,The result was different for me while comparing different options.,neutral,user_experience_feedback,0
730,Instagram,post,food,Double your investment with this offer before making a decision.,positive,financial_promotion,1
344,Instagram,post,technology,Collect your free gift today on my phone.,positive,giveaway_or_reward_scam,1
728,Instagram,post,technology,Double your investment with this offer in the mobile application.,positive,financial_promotion,1
331,YouTube,video,travel,You are eligible for an exclusive bonus after trying the latest update.,positive,giveaway_or_reward_scam,1
833,YouTube,video,music,Try our service with a limited discount for a small business.,positive,advertisement_or_promotion,1
703,YouTube,video,news,Earn money quickly with this method for a small business.,positive,financial_promotion,1
863,YouTube,video,news,Check our profile for exclusive products for a small business.,positive,advertisement_or_promotion,1
966,Instagram,post,gaming,I would like a filter for older posts for a beginner.,neutral,feature_or_content_request,0
305,YouTube,video,music,You have won a special prize during the weekend.,positive,giveaway_or_reward_scam,1
483,YouTube,video,travel,Like and share this message for a small business.,neutral,engagement_bait,1
694,Instagram,post,gaming,This connects with a similar discussion on my phone.,neutral,general_discussion,0
588,Instagram,post,sports,I followed the instructions carefully in the mobile application.,neutral,user_experience_feedback,0
560,Instagram,post,technology,The result was different for me before making a decision.,neutral,user_experience_feedback,0
654,Instagram,post,gaming,This topic deserves further discussion on my phone.,neutral,general_discussion,0
1058,Instagram,post,food,I can provide restricted interview questions in the mobile application.,positive,fraudulent_service_offer,1
866,Instagram,post,food,Check our profile for exclusive products for a beginner.,positive,advertisement_or_promotion,1
1082,Instagram,post,food,Message me for a shortcut to approval while comparing different options.,positive,fraudulent_service_offer,1
1027,YouTube,video,travel,Get an instant certificate without an exam after reading the description.,positive,fraudulent_service_offer,1
785,YouTube,video,music,Claim a limited financial opportunity during the weekend.,positive,financial_promotion,1
189,YouTube,video,education,The examples are very useful for my current project.,positive,praise_or_appreciation,0
206,Instagram,post,gaming,Could you explain this part for a beginner.,neutral,question_or_information_request,0
770,Instagram,post,food,Make passive income using this secret before making a decision.,positive,financial_promotion,1
111,YouTube,video,news,I really enjoyed this after trying the latest update.,positive,praise_or_appreciation,0
115,YouTube,video,travel,I really enjoyed this during the weekend.,positive,praise_or_appreciation,0
579,YouTube,video,travel,This worked after restarting the app for my current project.,neutral,user_experience_feedback,0
472,Instagram,post,technology,Subscribe for more content while comparing different options.,neutral,engagement_bait,1
203,YouTube,video,travel,Could you explain this part for a small business.,neutral,question_or_information_request,0
711,YouTube,video,news,Join our group for daily profit signals after trying the latest update.,positive,financial_promotion,1
197,YouTube,video,education,This is one of the best posts after reading the description.,positive,praise_or_appreciation,0
1003,YouTube,video,travel,DM me for guaranteed job placement for a small business.,positive,fraudulent_service_offer,1
582,Instagram,post,gaming,I followed the instructions carefully while comparing different options.,neutral,user_experience_feedback,0
450,Instagram,post,food,Comment YES to get noticed before making a decision.,neutral,engagement_bait,1
395,YouTube,video,travel,Click to unlock your cash reward during the weekend.,positive,giveaway_or_reward_scam,1
1061,YouTube,video,education,Send payment to receive the guaranteed result after trying the latest update.,positive,fraudulent_service_offer,1
176,Instagram,post,technology,This made my day for a beginner.,positive,praise_or_appreciation,0
33,YouTube,video,music,The quality is much worse than expected for a small business.,negative,complaint_or_problem_report,0
93,YouTube,video,education,I cannot use this properly for a small business.,negative,complaint_or_problem_report,0
381,YouTube,video,education,You have been chosen for a giveaway after trying the latest update.,positive,giveaway_or_reward_scam,1
448,Instagram,post,technology,Comment YES to get noticed in the mobile application.,neutral,engagement_bait,1
648,Instagram,post,technology,I agree that more context is needed in the mobile application.,neutral,general_discussion,0
429,YouTube,video,education,Share this with your friends for my current project.,neutral,engagement_bait,1
304,Instagram,post,technology,You have won a special prize on my phone.,positive,giveaway_or_reward_scam,1
532,Instagram,post,sports,The first attempt was successful while comparing different options.,neutral,user_experience_feedback,0
70,Instagram,post,gaming,This experience has been disappointing before making a decision.,negative,complaint_or_problem_report,0
786,Instagram,post,food,Claim a limited financial opportunity for a beginner.,positive,financial_promotion,1
1098,Instagram,post,food,Purchase exclusive access through my contact in the mobile application.,positive,fraudulent_service_offer,1
326,Instagram,post,gaming,Your account was selected for a gift for a beginner.,positive,giveaway_or_reward_scam,1
803,YouTube,video,travel,Visit our website for a special offer for a small business.,positive,advertisement_or_promotion,1
712,Instagram,post,technology,Join our group for daily profit signals while comparing different options.,positive,financial_promotion,1
1097,YouTube,video,music,Purchase exclusive access through my contact after reading the description.,positive,fraudulent_service_offer,1
945,YouTube,video,music,Can you add subtitles to the video during the weekend.,neutral,feature_or_content_request,0
480,Instagram,post,technology,Subscribe for more content before making a decision.,neutral,engagement_bait,1
6,Instagram,post,gaming,The app keeps crashing for a beginner.,negative,complaint_or_problem_report,0
577,YouTube,video,music,This worked after restarting the app after reading the description.,neutral,user_experience_feedback,0
683,YouTube,video,travel,I would like to hear other opinions for a small business.,neutral,general_discussion,0
455,YouTube,video,news,Follow for daily updates during the weekend.,neutral,engagement_bait,1
735,YouTube,video,news,Start earning from home today during the weekend.,positive,financial_promotion,1
638,Instagram,post,gaming,The discussion raises an important point in the mobile application.,neutral,general_discussion,0
829,YouTube,video,education,Download the complete guide from our page for my current project.,positive,advertisement_or_promotion,1
963,YouTube,video,travel,I would like a filter for older posts for a small business.,neutral,feature_or_content_request,0
662,Instagram,post,gaming,Different users may have different experiences while comparing different options.,neutral,general_discussion,0
241,YouTube,video,music,Where can I find the documentation after trying the latest update.,neutral,question_or_information_request,0
466,Instagram,post,food,Tag three people to participate for a beginner.,neutral,engagement_bait,1
583,YouTube,video,news,I followed the instructions carefully for a small business.,neutral,user_experience_feedback,0
380,Instagram,post,sports,Register now to receive your prize before making a decision.,positive,giveaway_or_reward_scam,1
736,Instagram,post,technology,Start earning from home today for a beginner.,positive,financial_promotion,1
50,Instagram,post,food,The service has been frustrating before making a decision.,negative,complaint_or_problem_report,0
843,YouTube,video,travel,Discover our new collection today for a small business.,positive,advertisement_or_promotion,1
651,YouTube,video,travel,This topic deserves further discussion after trying the latest update.,neutral,general_discussion,0
110,Instagram,post,gaming,This is excellent before making a decision.,positive,praise_or_appreciation,0
227,YouTube,video,travel,Is this available everywhere after reading the description.,neutral,question_or_information_request,0
739,YouTube,video,travel,Start earning from home today for my current project.,positive,financial_promotion,1
595,YouTube,video,travel,My experience may help other users during the weekend.,neutral,user_experience_feedback,0
720,Instagram,post,technology,Join our group for daily profit signals before making a decision.,positive,financial_promotion,1
533,YouTube,video,education,The first attempt was successful for a small business.,neutral,user_experience_feedback,0
684,Instagram,post,sports,I would like to hear other opinions on my phone.,neutral,general_discussion,0
913,YouTube,video,music,Could you include more examples for a small business.,neutral,feature_or_content_request,0
822,Instagram,post,gaming,Download the complete guide from our page while comparing different options.,positive,advertisement_or_promotion,1
946,Instagram,post,food,Can you add subtitles to the video for a beginner.,neutral,feature_or_content_request,0
1100,Instagram,post,sports,Purchase exclusive access through my contact before making a decision.,positive,fraudulent_service_offer,1
636,Instagram,post,sports,The discussion raises an important point for a beginner.,neutral,general_discussion,0
676,Instagram,post,sports,That is a reasonable way to look at it for a beginner.,neutral,general_discussion,0
165,YouTube,video,education,I appreciate the effort during the weekend.,positive,praise_or_appreciation,0
1001,YouTube,video,music,DM me for guaranteed job placement after trying the latest update.,positive,fraudulent_service_offer,1
31,YouTube,video,news,The quality is much worse than expected after trying the latest update.,negative,complaint_or_problem_report,0
997,YouTube,video,education,An offline mode would be helpful after reading the description.,neutral,feature_or_content_request,0
508,Instagram,post,sports,I tested this and it worked as expected in the mobile application.,neutral,user_experience_feedback,0
504,Instagram,post,technology,I tested this and it worked as expected on my phone.,neutral,user_experience_feedback,0
1042,Instagram,post,food,Contact me for confidential account access while comparing different options.,positive,fraudulent_service_offer,1
78,Instagram,post,gaming,The content leaves out important details in the mobile application.,negative,complaint_or_problem_report,0
1071,YouTube,video,news,Get professional credentials without training after trying the latest update.,positive,fraudulent_service_offer,1
248,Instagram,post,technology,Where can I find the documentation in the mobile application.,neutral,question_or_information_request,0
1026,Instagram,post,food,Get an instant certificate without an exam for a beginner.,positive,fraudulent_service_offer,1
67,YouTube,video,travel,This experience has been disappointing after reading the description.,negative,complaint_or_problem_report,0
534,Instagram,post,gaming,The first attempt was successful on my phone.,neutral,user_experience_feedback,0
250,Instagram,post,food,Where can I find the documentation before making a decision.,neutral,question_or_information_request,0
524,Instagram,post,sports,My experience was reasonable on my phone.,neutral,user_experience_feedback,0
782,Instagram,post,gaming,Claim a limited financial opportunity while comparing different options.,positive,financial_promotion,1
566,Instagram,post,gaming,I tested the example with new data for a beginner.,neutral,user_experience_feedback,0
307,YouTube,video,travel,You have won a special prize after reading the description.,positive,giveaway_or_reward_scam,1
984,Instagram,post,technology,Please include the source code on my phone.,neutral,feature_or_content_request,0
925,YouTube,video,education,Please support additional languages during the weekend.,neutral,feature_or_content_request,0
1043,YouTube,video,travel,Contact me for confidential account access for a small business.,positive,fraudulent_service_offer,1
882,Instagram,post,food,Join our newsletter for updates while comparing different options.,positive,advertisement_or_promotion,1
802,Instagram,post,food,Visit our website for a special offer while comparing different options.,positive,advertisement_or_promotion,1
438,Instagram,post,gaming,Like this post for a surprise in the mobile application.,neutral,engagement_bait,1
389,YouTube,video,education,You have been chosen for a giveaway for my current project.,positive,giveaway_or_reward_scam,1
619,YouTube,video,travel,I have been thinking about this topic for my current project.,neutral,general_discussion,0
71,YouTube,video,news,The content leaves out important details after trying the latest update.,negative,complaint_or_problem_report,0
310,Instagram,post,gaming,You have won a special prize before making a decision.,positive,giveaway_or_reward_scam,1
571,YouTube,video,travel,This worked after restarting the app after trying the latest update.,neutral,user_experience_feedback,0
420,Instagram,post,sports,Subscribe and comment DONE before making a decision.,neutral,engagement_bait,1
42,Instagram,post,food,The service has been frustrating while comparing different options.,negative,complaint_or_problem_report,0
824,Instagram,post,technology,Download the complete guide from our page on my phone.,positive,advertisement_or_promotion,1
800,Instagram,post,technology,Contact us for instant profit guidance before making a decision.,positive,financial_promotion,1
538,Instagram,post,food,The first attempt was successful in the mobile application.,neutral,user_experience_feedback,0
983,YouTube,video,news,Please include the source code for a small business.,neutral,feature_or_content_request,0
1028,Instagram,post,sports,Get an instant certificate without an exam in the mobile application.,positive,fraudulent_service_offer,1
98,Instagram,post,food,I cannot use this properly in the mobile application.,negative,complaint_or_problem_report,0
767,YouTube,video,news,Make passive income using this secret after reading the description.,positive,financial_promotion,1
795,YouTube,video,travel,Contact us for instant profit guidance during the weekend.,positive,financial_promotion,1
512,Instagram,post,technology,I tried the suggested method while comparing different options.,neutral,user_experience_feedback,0
137,YouTube,video,music,The creator did a great job after reading the description.,positive,praise_or_appreciation,0
887,YouTube,video,news,Join our newsletter for updates after reading the description.,positive,advertisement_or_promotion,1
1045,YouTube,video,education,Contact me for confidential account access during the weekend.,positive,fraudulent_service_offer,1
400,Instagram,post,technology,Click to unlock your cash reward before making a decision.,positive,giveaway_or_reward_scam,1
903,YouTube,video,news,Please add a dark mode option for a small business.,neutral,feature_or_content_request,0
53,YouTube,video,education,The result contains an error for a small business.,negative,complaint_or_problem_report,0
535,YouTube,video,news,The first attempt was successful during the weekend.,neutral,user_experience_feedback,0
25,YouTube,video,music,The instructions are confusing during the weekend.,negative,complaint_or_problem_report,0
655,YouTube,video,news,This topic deserves further discussion during the weekend.,neutral,general_discussion,0
668,Instagram,post,sports,Different users may have different experiences in the mobile application.,neutral,general_discussion,0
325,YouTube,video,education,Your account was selected for a gift during the weekend.,positive,giveaway_or_reward_scam,1
610,Instagram,post,food,This is an interesting perspective before making a decision.,neutral,general_discussion,0
942,Instagram,post,gaming,Can you add subtitles to the video while comparing different options.,neutral,feature_or_content_request,0
315,YouTube,video,travel,Claim your free reward now during the weekend.,positive,giveaway_or_reward_scam,1
992,Instagram,post,technology,An offline mode would be helpful while comparing different options.,neutral,feature_or_content_request,0
191,YouTube,video,news,This is one of the best posts after trying the latest update.,positive,praise_or_appreciation,0
397,YouTube,video,education,Click to unlock your cash reward after reading the description.,positive,giveaway_or_reward_scam,1
899,YouTube,video,travel,Explore the featured service online for my current project.,positive,advertisement_or_promotion,1
1005,YouTube,video,education,DM me for guaranteed job placement during the weekend.,positive,fraudulent_service_offer,1
932,Instagram,post,sports,It would be useful to have an export button while comparing different options.,neutral,feature_or_content_request,0
302,Instagram,post,gaming,You have won a special prize while comparing different options.,positive,giveaway_or_reward_scam,1
572,Instagram,post,sports,This worked after restarting the app while comparing different options.,neutral,user_experience_feedback,0
174,Instagram,post,gaming,This made my day on my phone.,positive,praise_or_appreciation,0
937,YouTube,video,music,It would be useful to have an export button after reading the description.,neutral,feature_or_content_request,0
989,YouTube,video,education,Please include the source code for my current project.,neutral,feature_or_content_request,0
372,Instagram,post,sports,Register now to receive your prize while comparing different options.,positive,giveaway_or_reward_scam,1
62,Instagram,post,gaming,This experience has been disappointing while comparing different options.,negative,complaint_or_problem_report,0
975,YouTube,video,news,Could you add keyboard shortcuts during the weekend.,neutral,feature_or_content_request,0
781,YouTube,video,education,Claim a limited financial opportunity after trying the latest update.,positive,financial_promotion,1
717,YouTube,video,education,Join our group for daily profit signals after reading the description.,positive,financial_promotion,1
918,Instagram,post,gaming,Could you include more examples in the mobile application.,neutral,feature_or_content_request,0
328,Instagram,post,technology,Your account was selected for a gift in the mobile application.,positive,giveaway_or_reward_scam,1
772,Instagram,post,sports,Our members are earning every day while comparing different options.,positive,financial_promotion,1
764,Instagram,post,sports,Make passive income using this secret on my phone.,positive,financial_promotion,1
502,Instagram,post,gaming,I tested this and it worked as expected while comparing different options.,neutral,user_experience_feedback,0
848,Instagram,post,technology,Discover our new collection today in the mobile application.,positive,advertisement_or_promotion,1
835,YouTube,video,travel,Try our service with a limited discount during the weekend.,positive,advertisement_or_promotion,1
82,Instagram,post,food,The product feels unreliable while comparing different options.,negative,complaint_or_problem_report,0
961,YouTube,video,music,I would like a filter for older posts after trying the latest update.,neutral,feature_or_content_request,0
488,Instagram,post,technology,Like and share this message in the mobile application.,neutral,engagement_bait,1
361,YouTube,video,music,A reward is waiting for you after trying the latest update.,positive,giveaway_or_reward_scam,1
1092,Instagram,post,sports,Purchase exclusive access through my contact while comparing different options.,positive,fraudulent_service_offer,1
970,Instagram,post,food,I would like a filter for older posts before making a decision.,neutral,feature_or_content_request,0
957,YouTube,video,education,Please provide a shorter version after reading the description.,neutral,feature_or_content_request,0
58,Instagram,post,food,The result contains an error in the mobile application.,negative,complaint_or_problem_report,0
543,YouTube,video,news,I used this with a different setup for a small business.,neutral,user_experience_feedback,0
261,YouTube,video,education,What are the requirements after trying the latest update.,neutral,question_or_information_request,0
1099,YouTube,video,travel,Purchase exclusive access through my contact for my current project.,positive,fraudulent_service_offer,1
68,Instagram,post,sports,This experience has been disappointing in the mobile application.,negative,complaint_or_problem_report,0
425,YouTube,video,music,Share this with your friends during the weekend.,neutral,engagement_bait,1
